id,Text
1,"Huge discount!!! Get 30% off at https://megastore.com today only."
2,"Reach out to help@support.net if you need any assistance."
3,"The flight departs at 6:30 AM on Monday, don't be late!"
4,"Order #TX78234 has been shipped and will arrive in 2 days."
5,"I studied for 4 hours and still scored only 62 marks."
6,"Check out our new arrivals at www.trendyshop.com this week."
7,"Wow!!! You just won a $100 gift card, congratulations!"
8,"The temperature dropped to -5°C overnight in the mountains."
9,"Daily exercise improves both physical and mental health."
10,"Invoice #INV20265 for $89.99 is now overdue, please pay ASAP."
11,"Smile more :) Life is too short to worry all the time!"
12,"Population grew by 12% in the last 10 years according to the report."
13,"The new phone costs $999 and comes with a 2-year warranty."
14,"Remember to submit the form before 11:59 PM tonight."
15,"Cleaning raw text involves removing symbols #, emojis ??, and links."
